PAYS,SITE,LONG,LAT,PERIODE,DECOUVERTE,UNESCO
ALGERIE,TASSILI N’AJJER,8.133855799999992,25.81359449999999,-12000,,1982
JORDANIE,PETRA,35.4443622,30.3284544,-9000,,1985
IRAK,UR,46.10611110000002,30.9608333,-5000,,
PAKISTAN,MOHENJO DARO,68.13568899999996,27.3242933,-3000,,1980
EGYPTE,SAQQARAH,31.21666700000003,29.84999999999999,-2600,,1979
EGYPTE,GIZEH ,31.132495500000005,29.9772962,-2560,,1979
PÉROU,NAZCA,-74.93275829999999,-14.8358687,-650,,1994
PÉROU,OLLANTAYTAMBO,-72.2642679,-13.2583689,-600,,
IRAN,PERSEPOLIS,29.9355235,29.9355235,-521,,1979
CHINE,XIAN ,108.93976999999995,34.341574,-259,,
MEXIQUE,TEOTIHUCAN,-98.8435035,19.6922729,150,,1987
MEXIQUE,COBA,-87.72463379999999,20.4930948,500,,
GUATEMALA,TIKAL,-89.61103779999996,17.2248941,734,,1979
MEXIQUE,PYRAMIDE DE KUKULCÀN,88.56778259999999,20.6842849,800,,1988
INDE,KHAJURAHO,79.91985490000002,24.8318452,950,,
CAMBODGE,PREAH VIHER,104.68017399999997,14.3915607,1002,,
CAMBODGE,ANGKOR VAT,103.86698569999999,13.4124693,1113,,
ÉTATS-UNIS,CLIFF PALACE,-108.46183350000001,37.2308729,1190,,
THAILANDE,SUKHOTAI,99.82637120000004,17.0055573,1238,,
ILE DE PACQUES,RAPA NUI,-109.34958059999997,-27.11299,1300,,
INDE,VIJAYA NAGAR,77.52988559999994,12.9719161,1336,,
PÉROU,SACSAYHUAMAN,-71.9816806,-13.5098438,1438,,
PÉROU,MACHU PICCHU,-72.54496289999997,-13.1631412,1440,,1983
ANGLETERRE,STONEHENGE,-1.8262150000000474,51.17888199999999,3000,,
