REGIONS,PAYS,NAME,ID° ,INSCRIPTION,LONGITUDE,LATITUDE,HECTARES
Amérique latine et Caraïbes,Équateur,Îles Galápagos,1,1978,-91.0000000000,-0.8166700000,14066514.0000
Amérique latine et Caraïbes,Équateur,Ville de Quito,2,1978,-78.5000000000,-0.0038888890,320.0000
Europe et Amérique du nord,Allemagne,Cathédrale d'Aix-la-Chapelle,3,1978,6.0844444440,50.7744444400,0.2000
Europe et Amérique du nord,Canada,Lieu historique national de L’Anse aux Meadows,4,1978,-55.6166666700,51.4666666700,8056.0000
États arabes,Tunisie,Parc national de l'Ichkeul,8,1980,9.6747200000,37.1636100000,12600.0000
Afrique,Éthiopie,Parc national du Simien,9,1978,38.0666666667,13.1833333333,13600.0000
Afrique,Éthiopie,Basse vallée de l'Aouache,10,1980,40.5793900000,11.1000600000,0.0000
Afrique,Éthiopie,Tiya,12,1980,38.6121000000,8.4349100000,0.0000
Afrique,Éthiopie,Axoum,15,1980,38.7186100000,14.1301900000,0.0000
Afrique,Éthiopie,Basse vallée de l'Omo,17,1980,35.9666666700,4.8000000000,0.0000
Afrique,Éthiopie,Églises creusées dans le roc de Lalibela,18,1978,39.0404200000,12.0293500000,0.0000
Afrique,Éthiopie,Fasil Ghebi,19,1979,37.4661700000,12.6069200000,0.0000
États arabes,République arabe syrienne,Ancienne ville de Damas,20,1979,36.3063900000,33.5113900000,86.1200
États arabes,République arabe syrienne,Ancienne ville d'Alep,21,1986,37.1666700000,36.2333300000,364.0000
États arabes,République arabe syrienne,Ancienne ville de Bosra,22,1980,36.4816700000,32.5180600000,99.8000
États arabes,République arabe syrienne,Site de Palmyre,23,1980,38.2666700000,34.5541700000,0.3600
Europe et Amérique du nord,Canada,Parc national Nahanni,24,1978,-125.5894444000,61.5472222200,476560.0000
Afrique,Sénégal,Parc national des oiseaux du Djoudj,25,1981,-16.1666700000,16.5000000000,16000.0000
Afrique,Sénégal,Île de Gorée,26,1978,-17.4008300000,14.6672200000,0.0000
Europe et Amérique du nord,États-Unis d'Amérique,Parc national de Mesa Verde,27,1978,-108.4855556000,37.2616666700,21043.0000
Europe et Amérique du nord,États-Unis d'Amérique,Parc national de Yellowstone,28,1978,-110.8277800000,44.4605600000,898349.0000
Europe et Amérique du nord,Pologne,Centre historique de Kraków,29,1978,19.9372222222,50.0613888889,149.6500
Europe et Amérique du nord,Pologne,Centre historique de Varsovie,30,1980,21.0116700000,52.2663900000,25.9300
Europe et Amérique du nord,Pologne,Auschwitz Birkenau Camp allemand nazi de concentration et d'extermination (1940-1945),31,1979,19.1750000000,50.0388888889,191.9700
Europe et Amérique du nord,Pologne,Mines royales de sel de Wieliczka et Bochnia,32,1978,20.0638888889,49.9791666667,1104.9470
Europe et Amérique du nord,"Bélarus,Pologne",Forêt Bialowieza,33,1979,23.9811111111,52.7275000000,
Afrique,Ghana,"Forts et châteaux de Volta, d'Accra et ses environs et des régions centrale et ouest",34,1979,-0.4936100000,5.3910300000,0.0000
Afrique,Ghana,Bâtiments traditionnels ashanti,35,1980,-1.6258333333,6.4011111111,0.0000
États arabes,Tunisie,Médina de Tunis,36,1979,10.1666700000,36.8166700000,296.4100
États arabes,Tunisie,Site archéologique de Carthage,37,1979,10.3233300000,36.8527800000,616.0200
États arabes,Tunisie,Amphithéâtre d'El Jem,38,1979,10.7069400000,35.2963900000,1.3700
Afrique,République-Unie de Tanzanie,Zone de conservation de Ngorongoro,39,1979,35.5408300000,-3.1872200000,809440.0000
Europe et Amérique du nord,Bulgarie,Église de Boyana,42,1979,23.2666666700,42.6500000000,0.6800
Europe et Amérique du nord,Bulgarie,Cavalier de Madara,43,1979,27.1500000000,43.3000000000,1.2000
Europe et Amérique du nord,Bulgarie,Tombe thrace de Kazanlak,44,1979,25.4000000000,42.6166666700,0.0155
Europe et Amérique du nord,Bulgarie,Églises rupestres d'Ivanovo,45,1979,25.9666666700,43.7166666700,171.9000
